symbol,strategy,n,win_rate,pf,mdd_pct,kelly,plus_months,monthly_sharpe,max_consec_loss,avg_win_pips,avg_loss_pips,spread_pips,tf_1h,tf_4h,pass_pf,pass_winrate,pass_mdd,pass_kelly,pass_months,pass_count,all_pass,status
AUDUSD,v77,1151,69.6,2.33,2.4,0.397,100.0,8.81,7,11.5,11.3,0.0,1151,0,False,True,True,False,True,3,False,FAIL(3/5)
AUDUSD,F1+F3,700,71.0,2.14,2.1,0.379,100.0,6.63,5,15.9,18.1,0.0,507,193,False,True,True,False,True,3,False,FAIL(3/5)
AUDUSD,Hybrid,689,69.2,1.92,2.9,0.332,100.0,6.97,7,15.7,18.3,0.0,490,199,False,True,True,False,True,3,False,FAIL(3/5)
EURUSD,v77,1233,69.3,2.28,2.6,0.389,100.0,7.03,7,15.8,15.6,0.0,1233,0,False,True,True,False,True,3,False,FAIL(3/5)
EURUSD,F1+F3,739,66.3,1.69,4.1,0.272,85.7,3.84,6,19.9,23.1,0.0,508,231,False,True,True,False,False,2,False,FAIL(2/5)
EURUSD,Hybrid,719,65.6,1.69,5.4,0.267,92.9,3.54,6,20.1,22.8,0.0,493,226,False,True,True,False,True,3,False,FAIL(3/5)
GBPUSD,v77,1203,72.0,2.61,2.2,0.444,100.0,7.82,6,17.0,16.7,0.1,1203,0,False,True,True,False,True,3,False,FAIL(3/5)
GBPUSD,F1+F3,725,67.4,2.26,3.4,0.376,92.9,4.23,6,30.0,27.5,0.1,497,228,False,True,True,False,True,3,False,FAIL(3/5)
GBPUSD,Hybrid,698,67.3,2.39,3.4,0.392,92.9,4.24,6,30.3,26.1,0.1,480,218,False,True,True,False,True,3,False,FAIL(3/5)
NAS100,v77,901,69.3,2.13,8.4,0.367,92.9,4.53,8,63.8,67.5,8.3,901,0,False,True,True,False,True,3,False,FAIL(3/5)
NAS100,F1+F3,665,68.7,2.01,6.7,0.346,78.6,3.4,10,87.0,94.9,8.3,446,219,False,True,True,False,False,2,False,FAIL(2/5)
NAS100,Hybrid,596,65.4,1.55,7.1,0.232,71.4,2.84,11,75.1,91.7,8.3,398,198,False,True,True,False,False,2,False,FAIL(2/5)
SPX500,v77,1020,72.6,2.96,2.6,0.481,100.0,6.73,6,140.6,126.2,0.1,1020,0,False,True,True,True,True,4,False,FAIL(4/5)
SPX500,F1+F3,728,70.6,2.46,3.3,0.419,92.9,4.22,5,188.3,183.8,0.1,491,237,False,True,True,False,True,3,False,FAIL(3/5)
SPX500,Hybrid,691,69.0,2.17,4.3,0.372,92.9,4.44,6,173.2,178.1,0.1,459,232,False,True,True,False,True,3,False,FAIL(3/5)
US30,v77,1113,71.1,2.49,3.6,0.425,92.9,4.22,5,83.6,82.5,0.8,1113,0,False,True,True,False,True,3,False,FAIL(3/5)
US30,F1+F3,780,69.2,2.22,4.2,0.38,85.7,2.98,5,116.8,118.5,0.8,508,272,False,True,True,False,False,2,False,FAIL(2/5)
US30,Hybrid,740,68.2,2.03,4.9,0.347,78.6,3.13,5,104.8,110.8,0.8,478,262,False,True,True,False,False,2,False,FAIL(2/5)
XAUUSD,v77,728,77.7,4.57,1.4,0.607,100.0,5.92,5,1396.0,1066.4,5.2,728,0,True,True,True,True,True,5,True,PASS
XAUUSD,F1+F3,473,77.0,3.66,1.9,0.559,100.0,5.17,4,1973.1,1799.1,5.2,345,128,True,True,True,True,True,5,True,PASS
XAUUSD,Hybrid,453,75.5,3.16,2.9,0.516,100.0,4.5,4,1747.2,1701.8,5.2,315,138,True,True,True,True,True,5,True,PASS
